arXiv ID,Title,Authors,Subjects,Publication Date,PDF Link,Image Path
arXiv:2502.09127,Universal criterion for selective outcomes under stochastic resetting,"Suvam Pal, Leonardo Dagdug, Dibakar Ghosh, Denis Boyer, Arnab Pal",Statistical Mechanics (cond-mat.stat-mech); Soft Condensed Matter (cond-mat.soft); Probability (math.PR); Chemical Physics (physics.chem-ph),2025-02-14,https://arxiv.org/pdf/2502.09127,images/arXiv_2502.09127.png
arXiv:2502.09078,Phototactic Bioconvection in a Rotating Isotropic Porous Medium: Linear Stability Analysis,"Sandeep Kumar, Suneet Singh",Fluid Dynamics (physics.flu-dyn); Dynamical Systems (math.DS),2025-02-14,https://arxiv.org/pdf/2502.09078,images/arXiv_2502.09078.png
arXiv:2502.09050,Leveraging Member-Group Relations via Multi-View Graph Filtering for Effective Group Recommendation,"Chae-Hyun Kim, Yoon-Ryung Choi, Jin-Duk Park, Won-Yong Shin",Information Retrieval (cs.IR); Artificial Intelligence (cs.AI); Information Theory (cs.IT); Machine Learning (cs.LG); Social and Information Networks (cs.SI),2025-02-14,https://arxiv.org/pdf/2502.09050,images/arXiv_2502.09050.png
arXiv:2502.09046,Criteria-Aware Graph Filtering: Extremely Fast Yet Accurate Multi-Criteria Recommendation,"Jin-Duk Park, Jaemin Yoo, Won-Yong Shin",Information Retrieval (cs.IR); Artificial Intelligence (cs.AI); Information Theory (cs.IT); Machine Learning (cs.LG); Social and Information Networks (cs.SI),2025-02-14,https://arxiv.org/pdf/2502.09046,images/arXiv_2502.09046.png
arXiv:2502.08873,Robust Graph-Based Semi-Supervised Learning via $p$-Conductances,"Sawyer Jack Robertson, Chester Holtz, Zhengchao Wan, Gal Mishne, Alexander Cloninger",Machine Learning (cs.LG); Discrete Mathematics (cs.DM); Optimization and Control (math.OC),2025-02-14,https://arxiv.org/pdf/2502.08873,images/arXiv_2502.08873.png
arXiv:2502.08838,Statistical inference for Levy-driven graph supOU processes: From short- to long-memory in high-dimensional time series,"Shreya Mehta, Almut E. D. Veraart",Methodology (stat.ME); Statistics Theory (math.ST); Applications (stat.AP),2025-02-14,https://arxiv.org/pdf/2502.08838,images/arXiv_2502.08838.png
arXiv:2502.08816,The Statistical Mechanics of Hawking Radiation,Noah M. MacKay,General Relativity and Quantum Cosmology (gr-qc); High Energy Physics - Theory (hep-th); Mathematical Physics (math-ph),2025-02-14,https://arxiv.org/pdf/2502.08816,images/arXiv_2502.08816.png
arXiv:2502.08808,A First-order Generative Bilevel Optimization Framework for Diffusion Models,"Quan Xiao, Hui Yuan, A F M Saif, Gaowen Liu, Ramana Kompella, Mengdi Wang, Tianyi Chen",Machine Learning (cs.LG); Optimization and Control (math.OC); Machine Learning (stat.ML),2025-02-14,https://arxiv.org/pdf/2502.08808,images/arXiv_2502.08808.png
arXiv:2502.08783,Learning Discontinuous Galerkin Solutions to Elliptic Problems via Small Linear Convolutional Neural Networks,"Adrian Celaya, Yimo Wang, David Fuentes, Beatrice Riviere",Machine Learning (cs.LG); Numerical Analysis (math.NA),2025-02-14,https://arxiv.org/pdf/2502.08783,images/arXiv_2502.08783.png
arXiv:2502.08746,Orthology and Near-Cographs in the Context of Phylogenetic Networks,"Anna Lindeberg, Guillaume E. Scholz, Nicolas Wieseke, Marc Hellmuth",Populations and Evolution (q-bio.PE); Discrete Mathematics (cs.DM); Combinatorics (math.CO),2025-02-14,https://arxiv.org/pdf/2502.08746,images/arXiv_2502.08746.png
arXiv:2502.08741,"Birational Transformations and 2d (0,2) Quiver Gauge Theories beyond Toric Fano 3-folds","Dongwook Ghim, Minsung Kho, Rak-Kyeong Seong",High Energy Physics - Theory (hep-th); Mathematical Physics (math-ph); Algebraic Geometry (math.AG),2025-02-14,https://arxiv.org/pdf/2502.08741,images/arXiv_2502.08741.png
arXiv:2502.08726,Unilateral vibration transmission in mechanical systems with bilinear coupling,"Ali Kogani, Behrooz Yousefzadeh",Pattern Formation and Solitons (nlin.PS); Dynamical Systems (math.DS); Applied Physics (physics.app-ph),2025-02-14,https://arxiv.org/pdf/2502.08726,images/arXiv_2502.08726.png
arXiv:2502.08654,Statistical tests based on Renyi entropy estimation,"Mehmet Siddik Cadirci, Dafydd Evans, Nikolai Leonenko, Vitali Makogin, Oleg Seleznjev",Methodology (stat.ME); Statistics Theory (math.ST),2025-02-14,https://arxiv.org/pdf/2502.08654,images/arXiv_2502.08654.png
